TEMPERATURE,WINDSPEED,ZENITH,DHI,DNI,POWER
10.1,4.7,170.95,0,0,0
10.3,4.8,168.57,0,0,0
10.4,5,163.66,0,0,0
10.3,4.9,157.84,0,0,0
10.2,4.9,151.69,0,0,0
9.9,4.8,145.4,0,0,0
9.7,4.7,139.06,0,0,0
9.9,4.9,132.7,0,0,0
10.1,5,126.37,0,0,0
10.2,5.1,120.08,0,0,0
10.4,5.2,113.85,0,0,0
10.3,5.2,107.71,0,0,0
10.2,5.3,101.67,0,0,0
10.3,5.4,95.77,0,0,0
10.4,5.6,89.6,0,0,0
11.6,6.1,84.37,27,530,17.3
12.8,6.7,79.14,38,721,28.5
14.2,7.6,74.19,46,825,51.1
15.6,8.4,69.6,52,890,57.8
16.7,8.7,65.46,56,934,57.4
17.8,8.9,61.87,59,974,58.3
18.6,9.1,58.94,62,995,53.9
19.3,9.2,56.76,63,1009,50.5
19.8,9.4,55.42,64,1016,51
20.3,9.6,55,65,1018,50.9
20.5,9.6,55.5,64,1016,51.9
20.7,9.7,56.91,62,1009,54.3
20.6,9.7,59.16,61,995,52.4
20.4,9.7,62.16,58,975,59.8
20,9.3,65.8,55,944,57.6
19.6,8.9,69.98,51,895,56.1
18.5,7.9,74.6,46,827,48.8
17.3,6.8,79.58,37,719,38.3
17.3,6.8,84.83,25,526,13.1
14.5,5.7,90.03,0,0,0
13.7,5.5,96.27,0,0,0
13,5.4,102.19,0,0,0
12.3,5.3,108.23,0,0,0
11.6,5.1,114.39,0,0,0
10.8,4.5,120.62,0,0,0
9.9,4,126.92,0,0,0
9.7,3.8,133.25,0,0,0
9.5,3.5,139.6,0,0,0
9.2,3.3,145.94,0,0,0
9,3.1,152.22,0,0,0
8.5,2.8,158.34,0,0,0
8,2.6,164.1,0,0,0
7,2.5,168.86,0,0,0
6.1,2.5,170.87,0,0,0
5.6,2.4,168.57,0,0,0
5,2.4,163.69,0,0,0
4.7,2.4,157.89,0,0,0
4.4,2.3,151.75,0,0,0
4.2,2.3,145.46,0,0,0
4,2.2,139.12,0,0,0
3.9,2.2,132.77,0,0,0
3.8,2.1,126.43,0,0,0
3.8,2.1,120.14,0,0,0
3.7,2.2,113.91,0,0,0
3.7,2.2,107.76,0,0,0
3.6,2.3,101.72,0,0,0
4.4,2.5,95.81,0,0,0
5.1,2.7,89.62,0,0,0
6.9,3.2,84.39,25,522,16.7
8.7,3.7,79.16,64,304,32
10.5,3.4,74.2,43,801,49.1
12.2,3,69.6,115,450,56
14.5,3.3,65.45,141,475,55.1
16.9,3.6,61.85,162,501,52.1
18.5,3.8,58.89,140,642,54
20.1,4,56.7,57,984,48.6
20.9,4.1,55.35,58,992,51.3
21.7,4.2,54.91,60,992,51
22.2,4.3,55.4,60,989,47.3
22.6,4.3,56.8,60,980,60.3
22.7,4.3,59.04,58,966,53.6
22.8,4.2,62.03,57,943,58.7
22.1,3.5,65.66,54,912,54.8
21.4,2.8,69.84,50,867,52.9
19,2.2,74.46,44,799,47.8
16.5,1.7,79.44,36,696,37.6
16.5,1.7,84.69,24,512,17.5
13.4,1.9,89.9,0,0,0
12.8,2,96.13,0,0,0
12.3,2,102.05,0,0,0
11.8,2.1,108.1,0,0,0
11.3,2.1,114.25,0,0,0
10.9,2.1,120.48,0,0,0
10.5,2,126.78,0,0,0
10.1,2,133.12,0,0,0
9.8,1.9,139.47,0,0,0
9.4,1.9,145.81,0,0,0
9.1,1.8,152.08,0,0,0
8.8,1.8,158.21,0,0,0
8.6,1.8,163.96,0,0,0
8.3,1.8,168.72,0,0,0
8.1,1.8,170.78,0,0,0
7.9,1.9,168.55,0,0,0
7.7,1.9,163.72,0,0,0
7.6,1.9,157.94,0,0,0
7.4,2,151.81,0,0,0
7.4,2,145.52,0,0,0
7.3,2,139.18,0,0,0
7.2,2.1,132.83,0,0,0
7.1,2.1,126.49,0,0,0
7.1,2.1,120.2,0,0,0
7,2.2,113.96,0,0,0
6.9,2.2,107.81,0,0,0
6.8,2.3,101.77,0,0,0
7.6,2.4,95.85,0,0,0
8.4,2.5,89.65,0,0,0
10.4,3,84.42,24,515,18.4
12.5,3.5,79.18,68,235,36.8
14,3.1,74.2,43,794,46.3
15.6,2.7,69.59,47,861,52.4
17.6,2.7,65.43,51,905,55.2
19.7,2.7,61.81,54,935,56.8
21.9,3.7,58.85,56,956,50.7
24.2,4.7,56.63,62,963,49.1
25,5,55.27,63,971,47.9
25.8,5.3,54.81,63,975,46.4
26,5.4,55.29,62,973,48.6
26.1,5.4,56.68,61,966,47.8
25.9,5.3,58.91,59,952,46.1
25.8,5.2,61.89,57,934,27.4
24.9,4.5,65.52,54,903,60.9
23.9,3.7,69.7,53,850,58.1
21.4,3,74.32,62,608,45.1
18.8,2.3,79.3,69,184,32.9
18.8,2.3,84.55,27,483,1.6
16.1,2.5,89.78,0,0,0
15.9,2.6,95.99,0,0,0
15.6,2.7,101.91,0,0,0
15.2,2.8,107.96,0,0,0
14.9,2.9,114.11,0,0,0
14.5,2.9,120.35,0,0,0
14.2,2.9,126.64,0,0,0
13.8,3,132.98,0,0,0
13.5,3,139.33,0,0,0
13.1,3,145.67,0,0,0
12.7,3.1,151.94,0,0,0
12.4,3.2,158.06,0,0,0
12.1,3.4,163.81,0,0,0
11.8,3.5,168.58,0,0,0
11.5,3.6,170.68,0,0,0
11.1,3.6,168.53,0,0,0
10.7,3.6,163.74,0,0,0
10.4,3.7,157.98,0,0,0
10,3.8,151.86,0,0,0
9.6,3.8,145.58,0,0,0
9.3,3.8,139.24,0,0,0
8.9,3.7,132.89,0,0,0
8.5,3.5,126.55,0,0,0
8.1,3.3,120.25,0,0,0
7.6,3.1,114.01,0,0,0
7.2,3,107.86,0,0,0
6.8,2.9,101.8,0,0,0
6.8,3.2,95.89,0,0,0
6.8,3.4,89.67,0,0,0
7.6,3.6,84.43,34,170,14.1
8.4,3.8,79.18,45,537,32.6
10.1,3.6,74.2,107,219,25.1
11.9,3.4,69.58,68,707,3.5
13.5,3.3,65.4,54,938,44.6
15.1,3.2,61.77,56,971,53
15.8,2.4,58.79,58,992,53.9
16.5,1.6,56.56,61,1004,51.2
17,0.9,55.18,61,1012,48.8
17.4,0.3,54.71,62,1014,49.3
17.8,1,55.17,62,1021,49.9
18.2,1.7,56.55,61,1014,52.3
18.3,1.8,58.77,59,1000,51.9
18.5,2,61.75,57,980,54
18.3,1.6,65.37,54,950,55.5
18.1,1.2,69.55,49,909,53.3
16.8,1,74.17,44,845,48.5
15.5,0.9,79.15,36,747,38.1
15.5,0.9,84.4,25,571,17
12.1,1.4,89.65,0,0,0
11.2,1.4,95.84,0,0,0
10.3,1.4,101.76,0,0,0
9.9,1.4,107.81,0,0,0
9.4,1.4,113.97,0,0,0
9.2,1.5,120.21,0,0,0
9,1.6,126.5,0,0,0
8.4,1.7,132.84,0,0,0
7.9,1.9,139.19,0,0,0
7.8,2.3,145.53,0,0,0
7.6,2.7,151.8,0,0,0
7.6,3.2,157.92,0,0,0
7.7,3.6,163.66,0,0,0
7.4,3.8,168.43,0,0,0
7.2,4.1,170.57,0,0,0
6.9,4.2,168.5,0,0,0
6.5,4.4,163.75,0,0,0
6.2,4.6,158.02,0,0,0
5.9,4.8,151.9,0,0,0
5.4,5,145.63,0,0,0
5,5.2,139.29,0,0,0
4.6,5.2,132.94,0,0,0
4.2,5.3,126.6,0,0,0
3.8,5.3,120.3,0,0,0
3.5,5.2,114.06,0,0,0
3.1,5.1,107.9,0,0,0
2.8,4.9,101.84,0,0,0
3,4.8,95.91,0,0,0
3.1,4.7,89.68,0,0,0
4.4,4.5,84.44,26,531,16.6
5.7,4.4,79.19,38,712,31.6
7.6,5,74.19,46,816,45.4
9.5,5.5,69.56,52,883,57.1
10.7,5.5,65.37,56,935,59.5
11.9,5.5,61.72,59,966,58.5
12.6,5.3,58.72,62,987,56
13.4,5.1,56.48,61,1004,52.2
13.9,4.9,55.08,62,1012,51.7
