TEMPERATURE,POWER
10.1,0
10.3,0
10.4,0
10.3,0
10.2,0
9.9,0
9.7,0
9.9,0
10.1,0
10.2,0
10.4,0
10.3,0
10.2,0
10.3,0
10.4,0
11.6,17.3
12.8,28.5
14.2,51.1
15.6,57.8
16.7,57.4
17.8,58.3
18.6,53.9
19.3,50.5
19.8,51
20.3,50.9
20.5,51.9
20.7,54.3
20.6,52.4
20.4,59.8
20,57.6
19.6,56.1
18.5,48.8
17.3,38.3
17.3,13.1
14.5,0
13.7,0
13,0
12.3,0
11.6,0
10.8,0
9.9,0
9.7,0
9.5,0
9.2,0
9,0
8.5,0
8,0
7,0
6.1,0
5.6,0
5,0
4.7,0
4.4,0
4.2,0
4,0
3.9,0
3.8,0
3.8,0
3.7,0
3.7,0
3.6,0
4.4,0
5.1,0
6.9,16.7
8.7,32
10.5,49.1
12.2,56
14.5,55.1
16.9,52.1
18.5,54
20.1,48.6
20.9,51.3
21.7,51
22.2,47.3
22.6,60.3
22.7,53.6
22.8,58.7
22.1,54.8
21.4,52.9
19,47.8
16.5,37.6
16.5,17.5
13.4,0
12.8,0
12.3,0
11.8,0
11.3,0
10.9,0
10.5,0
10.1,0
9.8,0
9.4,0
9.1,0
8.8,0
8.6,0
8.3,0
8.1,0
7.9,0
7.7,0
7.6,0
7.4,0
7.4,0
7.3,0
7.2,0
7.1,0
7.1,0
7,0
6.9,0
6.8,0
7.6,0
8.4,0
10.4,18.4
12.5,36.8
14,46.3
15.6,52.4
17.6,55.2
19.7,56.8
21.9,50.7
24.2,49.1
25,47.9
25.8,46.4
26,48.6
26.1,47.8
25.9,46.1
25.8,27.4
24.9,60.9
23.9,58.1
21.4,45.1
18.8,32.9
18.8,1.6
16.1,0
15.9,0
15.6,0
15.2,0
14.9,0
14.5,0
14.2,0
13.8,0
13.5,0
13.1,0
12.7,0
12.4,0
12.1,0
11.8,0
11.5,0
11.1,0
10.7,0
10.4,0
10,0
9.6,0
9.3,0
8.9,0
8.5,0
8.1,0
7.6,0
7.2,0
6.8,0
6.8,0
6.8,0
7.6,14.1
8.4,32.6
10.1,25.1
11.9,3.5
13.5,44.6
15.1,53
15.8,53.9
16.5,51.2
17,48.8
17.4,49.3
17.8,49.9
18.2,52.3
18.3,51.9
18.5,54
18.3,55.5
18.1,53.3
16.8,48.5
15.5,38.1
15.5,17
12.1,0
11.2,0
10.3,0
9.9,0
9.4,0
9.2,0
9,0
8.4,0
7.9,0
7.8,0
7.6,0
7.6,0
7.7,0
7.4,0
7.2,0
6.9,0
6.5,0
6.2,0
5.9,0
5.4,0
5,0
4.6,0
4.2,0
3.8,0
3.5,0
3.1,0
2.8,0
3,0
3.1,0
4.4,16.6
5.7,31.6
7.6,45.4
9.5,57.1
10.7,59.5
11.9,58.5
12.6,56
13.4,52.2
13.9,51.7
14.4,50.9
14.6,52.5
14.8,55
14.8,54.3
14.8,56.1
14.4,58.2
14.1,57.5
12.3,41.8
10.4,32.3
10.4,17.1
8,0
7.8,0
7.6,0
7.3,0
7,0
6.8,0
6.6,0
6.5,0
6.4,0
6.4,0
6.5,0
6.4,0
6.4,0
5.8,0
5.2,0
4.4,0
3.6,0
2.9,0
2.2,0
1.9,0
1.5,0
1.3,0
1.1,0
1,0
0.8,0
0.7,0
0.6,0
1.5,0
2.5,0
4.3,20.9
6,26.9
7.9,50.9
9.7,58
11.9,57
14.1,54.9
15.3,53.8
16.6,49.4
17.4,47.2
18.3,44.1
18.8,50.1
19.4,53.4
19.5,52.3
19.7,55.8
19.1,57.8
18.6,59.2
16.1,49
13.7,37.6
13.7,17.4
10.4,0
10,0
9.5,0
9.2,0
8.8,0
8.4,0
8,0
7.5,0
7.1,0
6.6,0
6.2,0
5.8,0
5.4,0
5.1,0
4.8,0
4.5,0
4.3,0
4.1,0
3.8,0
3.6,0
3.4,0
3.3,0
3.1,0
3,0
2.9,0
2.8,0
2.7,0
3.5,0
4.2,0
6.1,21.5
8,34.7
9.7,45.1
11.3,51.9
13.6,57.1
15.9,55
17.7,51.2
19.5,49
20.4,50
21.4,49.2
21.8,49.1
22.2,51.8
22.3,50.8
22.4,52.9
21.6,54.9
20.9,58.5
18.2,48.5
15.6,39.3
15.6,18.6
12.3,0
11.9,0
11.4,0
11,0
10.6,0
10.3,0
10.1,0
9.9,0
9.7,0
9.6,0
9.4,0
9.3,0
9.2,0
9,0
8.8,0
8.6,0
8.5,0
8.5,0
8.4,0
8.8,0
9.2,0
9.5,0
9.9,0
10.4,0
10.8,0
11.1,0
11.4,0
11.6,0
11.9,0
12.6,10.8
13.3,12.3
14.9,29.3
16.5,47.9
18.6,60.1
20.7,63.3
21.7,55.1
22.8,57
23.2,48.5
23.6,48.2
23.7,49.4
23.8,50.7
23.6,53.3
23.4,55.3
22.5,56.4
21.5,54.3
19.7,48.8
17.8,39.7
17.8,19.5
15.7,0
14.7,0
13.7,0
12.9,0
12,0
11.3,0
10.7,0
9.9,0
9.1,0
8.4,0
7.7,0
7.3,0
6.8,0
6.4,0
6.1,0
5.7,0
5.3,0
4.9,0
4.4,0
4,0
3.6,0
3.4,0
3.2,0
3.1,0
3,0
2.9,0
2.7,0
3.1,0
3.4,0
4.7,18.1
6,43.8
7.4,49.8
8.7,51.8
9.9,57.9
11,53.2
11.8,57.2
12.5,56.4
12.8,54
13,52.1
13,53.8
12.9,58.5
12.6,57.8
12.3,59.8
11.6,61.3
10.9,59.7
9.6,52.4
8.3,40
8.3,19.2
5.9,0
5.1,0
4.3,0
3.7,0
3,0
2.5,0
1.9,0
1.4,0
0.8,0
0.3,0
-0.2,0
-0.6,0
-1,0
-1.3,0
-1.6,0
-1.9,0
-2.1,0
-2.3,0
-2.5,0
-2.7,0
-2.8,0
-3,0
-3.1,0
-3.2,0
-3.3,0
-3.3,0
-3.4,0
-2.3,0
-1.2,0
0.6,22.4
2.4,42
4.3,52.8
6.2,60.4
7.9,61.5
9.6,60.6
10.7,54.2
11.9,52.6
12.7,50.7
13.5,48.1
14.1,50.8
14.7,54.4
15,53.2
15.3,56.9
15,58.2
14.7,55.8
12.3,50
9.8,41.8
9.8,20.2
6.5,0
6.1,0
5.7,0
5.2,0
4.7,0
4.1,0
3.6,0
2.9,0
2.3,0
1.8,0
1.3,0
0.9,0
0.5,0
0.2,0
-0.1,0
-0.3,0
-0.5,0
-0.6,0
-0.8,0
-0.8,0
-0.9,0
-1,0
-1,0
-1.1,0
-1.2,0
-1.2,0
-1.3,0
-0.3,0
0.7,0
3,21.9
5.3,40.6
7,49.9
8.7,56.8
10.9,57.2
13.1,57.6
15,54
16.9,55.1
18.1,49.9
19.4,45.5
20,45.8
20.7,54.4
20.7,56.9
20.7,58.8
19.7,50.6
18.6,47.4
16.4,28.8
14.3,38.6
14.3,0.4
11.7,0.4
11.2,0
10.8,0
10.4,0
10,0
9.7,0
9.4,0
9,0
8.7,0
8.4,0
8.1,0
7.8,0
7.5,0
7.3,0
7.1,0
6.8,0
6.6,0
6.4,0
6.1,0
5.9,0
5.6,0
5.2,0
4.7,0
3.9,0
3.2,0
2.5,0
1.8,0
2.3,0
2.8,0
4.2,21
5.6,40.6
7.7,50.3
9.7,57
12.3,61.2
14.9,59.1
16.8,56.6
18.8,56.8
19.5,47.9
20.3,43.3
20.6,45.9
21,25.8
21,21.1
21,30.5
20.6,46.7
20.1,58.6
17.9,49.2
15.7,39.8
15.7,22.2
12.4,0
12,0
11.5,0
11,0
10.6,0
9.8,0
8.9,0
8.1,0
7.3,0
6.5,0
5.8,0
5,0
4.3,0
3.6,0
2.9,0
2.3,0
1.7,0
1.4,0
1,0
0.9,0
0.7,0
0.4,0
0.2,0
-0.1,0
-0.4,0
-0.6,0
-0.8,0
0,0
0.9,0
2.5,22.6
4.1,41.7
5.8,53.2
7.6,60.8
8.6,59
9.6,57.3
10.2,57.2
10.8,57.5
11.3,51.5
11.7,47.8
12,52
12.4,54.2
12.5,56.7
12.6,58.7
12.4,59.7
12.2,59.8
10.9,52.1
9.6,42.2
9.6,31.5
6.4,11
5.9,0
5.4,0
5,0
4.7,0
4.4,0
4.1,0
3.7,0
3.4,0
3,0
2.5,0
2.2,0
1.9,0
1.7,0
1.5,0
1.3,0
1.1,0
1.4,0
1.7,0
2.1,0
2.4,0
2.4,0
2.3,0
2.3,0
2.3,0
2.2,0
2.1,0
2.6,0
3.1,0
4,1.1
4.8,8.1
5.5,33.4
6.1,36.7
7.7,15.2
9.4,21.2
10.9,50.4
12.5,32.8
13.5,32.8
14.5,20.1
15.3,13.4
16.2,23.4
16.5,13.4
16.9,4.3
16.7,29.9
16.4,35.7
14.6,35.8
12.8,24.3
12.8,25.2
10.1,0
9.9,0
9.6,0
9.5,0
9.5,0
9.4,0
9.3,0
9.3,0
9.2,0
9,0
8.8,0
8.4,0
8.1,0
7.9,0
7.8,0
7.8,0
7.9,0
7.8,0
7.7,0
7.7,0
7.7,0
7.8,0
7.9,0
7.9,0
8,0
8,0
8.1,0
8.6,0
9,0
10.6,19
12.2,37.8
13.7,38.4
15.3,57.8
17,41.1
18.6,61.4
19.3,49.1
20,52.6
20.2,51.9
20.3,57.6
20.1,53.2
19.9,54.6
19.7,54.3
19.6,58.8
19.4,58.8
19.2,56.4
17.7,52.3
16.2,41.7
16.2,22.1
12.5,0
11.9,0
11.3,0
10.8,0
10.3,0
10,0
9.7,0
9.5,0
9.2,0
9,0
8.7,0
8.4,0
8.2,0
7.9,0
7.6,0
7.3,0
7.1,0
6.8,0
6.4,0
6.1,0
5.9,0
5.6,0
5.4,0
5.2,0
4.9,0
4.6,0
4.3,0
4.8,0
5.2,0
6.5,22.6
7.9,44.1
9.3,55.9
10.8,62.5
11.5,60.9
12.2,57.1
12.5,56.6
12.9,56.3
13.2,53.9
13.4,53
13.6,55.2
13.7,56.9
13.6,59.4
13.5,62.9
13.1,61.5
12.7,62.7
11.7,47.1
10.8,9.9
10.8,6.6
8.4,0
7.5,0
6.6,0
5.9,0
5.2,0
4.7,0
4.3,0
3.8,0
3.4,0
2.9,0
2.4,0
2,0
1.5,0
1.2,0
0.8,0
0.6,0
0.3,0
0.1,0
-0.2,0
-0.4,0
-0.7,0
-0.8,0
-1,0
-1.2,0
-1.4,0
-1.6,0
-1.8,0
-0.8,0
0.2,0
1.7,23
3.2,42.2
4.8,50
6.4,53.8
7.8,58.9
9.1,58.6
10.2,57.9
11.3,55.8
12.1,53.7
12.9,51.6
13.5,51.7
14.1,52.6
14.4,56.8
14.7,61.4
14.6,59.3
14.4,60.5
12.4,57
10.4,49.6
10.4,25.8
6.6,0
6.2,0
5.8,0
5.3,0
4.8,0
4.4,0
3.9,0
3.5,0
3.1,0
2.8,0
2.4,0
2.1,0
1.8,0
1.5,0
1.2,0
0.9,0
0.6,0
0.4,0
0.1,0
-0.1,0
-0.3,0
-0.6,0
-0.8,0
-1,0
-1.2,0
-1.4,0
-1.6,0
-0.6,0
0.4,0
2.1,23.3
3.8,42
5.8,53.3
7.9,54.5
10.6,57.3
13.3,52.8
15.2,56.2
17,58.5
18.1,49.4
19.1,46.8
19.6,55.1
20.2,54.2
20.2,35.3
20.3,24.5
19.5,52.1
18.7,50.7
16.6,32.6
14.5,0.4
14.5,23.3
11.7,0
11.2,0
10.8,0
10.3,0
9.8,0
9.3,0
8.9,0
8.5,0
8.1,0
7.6,0
7.2,0
6.9,0
6.5,0
6.2,0
5.9,0
5.7,0
5.4,0
5.3,0
5.1,0
4.9,0
4.7,0
4.5,0
4.3,0
4,0
3.8,0
3.6,0
3.5,0
4.2,0
5,0
6.8,0.2
8.7,19.9
10.8,37.9
12.8,36.4
15.3,62.1
17.9,4.6
19.6,53
21.3,50.5
21.9,52.8
22.4,54.2
22.6,53.1
22.8,54.5
22.7,55.6
22.7,60.1
22,59.1
21.3,57.3
18.9,46.3
16.5,41
16.5,21.6
14.1,1.8
13.5,0
13,0
12.6,0
12.2,0
11.9,0
11.5,0
10.9,0
10.3,0
9.5,0
8.7,0
8.2,0
7.6,0
7.3,0
6.9,0
6.4,0
5.9,0
5.5,0
5.2,0
4.8,0
4.5,0
4,0
3.6,0
3.1,0
2.6,0
2.2,0
1.8,0
2.8,0
3.8,0
5.5,22.9
7.1,41.1
8.5,51
9.9,65.1
10.7,60.5
11.6,54.9
12.2,57.7
12.8,55.8
13.2,54.6
13.6,53.9
13.8,54.3
14,58.3
14,58.9
13.9,58
13.5,61.7
13.2,60.2
11.6,52.9
10.1,43.4
10.1,26.6
6.3,0
5.9,0
5.5,0
5.1,0
4.8,0
4.3,0
3.9,0
3.3,0
2.8,0
2.1,0
1.5,0
0.9,0
0.4,0
-0.1,0
-0.5,0
-0.9,0
-1.2,0
-1.5,0
-1.7,0
-1.9,0
-2.1,0
-2.3,0
-2.5,0
-2.6,0
-2.8,0
-2.9,0
-3.1,0
-2.2,0
-1.3,0
0.2,20.1
1.6,37.7
3.2,49.8
4.7,47.7
5.8,57.3
6.8,62.8
7.8,56
8.7,54.9
9.5,53.2
10.2,54.8
10.6,51.7
11.1,55.3
11.2,58.1
11.4,55.2
11.2,59.8
11,57.7
10,53.7
8.9,44.2
8.9,0.2
5.7,18.8
5.5,0
5.4,0
5.3,0
5.3,0
5,0
4.7,0
4.1,0
3.6,0
2.9,0
2.3,0
1.8,0
1.4,0
1.1,0
0.9,0
0.7,0
0.6,0
0.4,0
0.2,0
0,0
-0.2,0
-0.4,0
-0.6,0
-0.7,0
-0.9,0
-1,0
-1.1,0
0.1,0
1.4,0
3,18.8
4.6,42.6
6.5,55.9
8.3,62.3
9.3,62.4
10.2,63.6
10.9,56.9
11.5,55.2
11.9,53.8
12.4,52.7
12.6,53.7
12.9,56.4
12.9,58.9
13,63.2
12.7,59.5
12.5,58.7
11.4,54.7
10.3,44.7
10.3,29.8
7,0
6.3,0
5.6,0
5.1,0
4.6,0
4.2,0
3.7,0
3.2,0
2.7,0
2.2,0
1.7,0
1.3,0
1,0
0.8,0
0.6,0
0.6,0
0.7,0
0.7,0
0.7,0
0.4,0
0,0
-0.5,0
-1,0
-1.3,0
-1.7,0
-1.8,0
-2,0
-1,0
0.1,0
1.6,25.9
3,48.2
4.7,55.8
6.3,63.8
7.3,63.1
8.4,61
9,60.7
9.7,59.8
10.1,54.4
10.6,53
10.8,53.6
11.1,57
11.3,56.6
11.4,57.4
11.3,60
11.1,60.5
10.3,57.2
9.4,49
9.4,23.4
7.2,20.2
6.8,0
6.5,0
6.3,0
6.1,0
5.7,0
5.4,0
5,0
4.5,0
4.1,0
3.8,0
3.5,0
3.2,0
3.1,0
3,0
2.8,0
2.5,0
2.2,0
1.9,0
1.7,0
1.4,0
1.1,0
0.9,0
0.4,0
-0.1,0
-0.4,0
-0.7,0
0.3,0
1.2,0
2.5,25.6
3.8,46.3
5.4,55
7,58.9
8.5,63.4
9.9,60.2
11,36.8
12.1,53.4
13,47.3
13.9,37.3
14.4,37.1
14.9,48.3
15.1,53.3
15.4,54.2
15.3,56.5
15.1,56.1
13.5,51.6
12,43.6
12,26.6
8.9,3.2
8.7,0
8.4,0
8.4,0
8.4,0
8.3,0
8.3,0
8.4,0
8.5,0
8.4,0
8.4,0
8.2,0
8,0
7.7,0
7.4,0
7.3,0
7.1,0
6.8,0
6.4,0
5.9,0
5.3,0
5,0
4.7,0
4.5,0
4.3,0
3.8,0
3.4,0
4.2,0
5,0
5.8,0
6.6,0.1
7.9,8.2
