Month,Train_MAE,Test_MAE,Ratio
Sep,2.6251876369838874,3.5216005164219273,1.3414662124753645
Jun,2.604122265171785,3.537710008430812,1.3585038059637502
Nov,2.627109152172178,3.940357656992144,1.4998834950326028
Apr,2.767001967357799,3.956612062429388,1.4299274482292992
May,2.5657499710823046,3.9623532213911576,1.5443255445968989
Oct,2.6658746434607425,4.268187376360098,1.6010457906675202
Jul,2.5222550193759155,4.311062244454058,1.7092095015518094
Feb,2.725501945491561,4.600272108073391,1.6878623461205065
Jan,2.7771833097528735,4.642203233899966,1.6715508902842466
Dec,2.7081318438589306,4.653529736680048,1.7183542031871826
Mar,2.5280144126183806,5.792706461050498,2.2914056312878084
Aug,2.5702524160375186,5.928445050256547,2.30656141523884
